prompt,response
What is dotenv in MERN?,dotenv is used to manage environment variables securely.
What is bcrypt?,bcrypt is used to hash passwords before storing them in the database.
What is session vs token authentication?,Session uses server-side storage while token uses client-side storage.
What is MongoDB aggregation?,Aggregation processes data and returns computed results.
What is indexing in MongoDB?,Indexing improves query performance in MongoDB.
What is Axios?,Axios is a library used to make HTTP requests from the frontend.
What is deployment in MERN?,Deployment is the process of hosting a MERN application on a server.
What is CI/CD in MERN?,CI/CD automates building testing and deploying applications.
What is monorepo in MERN?,A monorepo stores frontend and backend code in a single repository.
What is role based access control?,Role based access control restricts system access based on user roles.
What is API rate limiting?,API rate limiting restricts the number of requests a client can make.
What is WebSocket in MERN?,WebSocket enables real time communication between client and server.
What is file upload in MERN?,File upload allows users to send files from frontend to backend.
What is cloud storage integration?,Cloud storage integration stores files on services like AWS S3.
What is pagination?,Pagination divides large data sets into smaller pages.
What is data validation in MERN?,Data validation ensures only correct data is stored and processed.
What is schema design in MongoDB?,Schema design defines how data is structured in MongoDB collections.
What is API versioning?,API versioning manages changes without breaking existing clients.
What is load balancing?,Load balancing distributes traffic across multiple servers.
What is database sharding in MongoDB?,Database sharding splits data across multiple servers to improve performance and scalability.
What is aggregation pipeline optimization?,Aggregation pipeline optimization improves query efficiency using indexes and stages.
What is JWT refresh token?,A refresh token is used to obtain a new JWT access token without re-authenticating the user.
What is server-side rendering with React in MERN?,Server-side rendering renders React components on the server for better SEO and performance.
What is schema-less vs schema-enforced design in MongoDB?,Schema-less allows flexible document structure, schema-enforced uses Mongoose schemas for consistency.
What is connection pooling in Node.js?,Connection pooling reuses database connections to improve performance and reduce latency.
What is rate limiting and throttling?,Rate limiting restricts requests per time window, throttling slows down excessive requests to prevent overload.
What is GraphQL vs REST in MERN?,GraphQL allows clients to request exactly the data they need, while REST has fixed endpoints returning full resources.
What is microservices architecture in MERN?,Microservices split an app into smaller independent services that communicate via APIs.
What is horizontal vs vertical scaling in MERN?,Horizontal scaling adds more servers, vertical scaling increases resources on a single server.
What is caching strategy in MERN?,Caching stores frequently accessed data in memory (e.g., Redis) to reduce database load.
